rank,company,symbol,ytd_return
354,"NVR, Inc.",NVR,-6.09
355,Kimco Realty,KIM,-6.10
356,Paccar,PCAR,-6.29
357,"Workday, Inc.",WDAY,-6.52
358,Synopsys,SNPS,-6.60
359,Marriott International,MAR,-6.79
360,Pfizer,PFE,-6.94
361,Blackstone Inc.,BX,-6.95
362,Starbucks,SBUX,-7.36
363,Waters Corporation,WAT,-7.49
364,Henry Schein,HSIC,-7.62
365,Healthpeak Properties,DOC,-7.65
366,T. Rowe Price,TROW,-7.83
367,W. W. Grainger,GWW,-7.89
368,Kimberly-Clark,KMB,-7.89
369,MGM Resorts,MGM,-8.02
370,Coterra,CTRA,-8.30
371,Progressive Corporation,PGR,-8.44
372,Packaging Corporation of America,PKG,-8.55
373,Essex Property Trust,ESS,-8.63
374,Tyson Foods,TSN,-8.64
375,Honeywell,HON,-8.79
376,Omnicom Group,OMC,-9.12
377,Danaher Corporation,DHR,-9.22
378,Equifax,EFX,-9.31
379,Procter & Gamble,PG,-9.36
380,Norwegian Cruise Line Holdings,NCLH,-9.64
381,Paychex,PAYX,-9.72
382,Dover Corporation,DOV,-9.96
383,"Block, Inc.",XYZ,-9.99
384,Fortinet,FTNT,-10.18
385,Invitation Homes,INVH,-10.54
386,MSCI,MSCI,-10.55
387,Marsh McLennan,MMC,-10.59
388,"Nike, Inc.",NKE,-10.64
389,CDW,CDW,-10.72
390,Zoetis,ZTS,-10.97
391,International Paper,IP,-11.02
392,Federal Realty Investment Trust,FRT,-11.08
393,McCormick & Company,MKC,-11.14
394,Camden Property Trust,CPT,-11.16
395,Ameriprise Financial,AMP,-11.22
396,Tyler Technologies,TYL,-11.51
397,Jack Henry & Associates,JKHY,-11.54
398,Ball Corporation,BALL,-11.65
399,Dexcom,DXCM,-12.01
400,Intuitive Surgical,ISRG,-12.16
401,ConocoPhillips,COP,-12.21
402,Lennox International,LII,-12.24
403,Air Products,APD,-12.35
404,Equinix,EQIX,-12.49
405,Schlumberger,SLB,-12.81
406,Fortive,FTV,-12.81
407,ON Semiconductor,ON,-12.94
408,Equity Residential,EQR,-13.11
409,Bio-Techne,TECH,-13.18
410,EOG Resources,EOG,-13.20
411,Merck & Co.,MRK,-13.23
412,Ingersoll Rand,IR,-13.25
413,Cognizant,CTSH,-13.26
414,Colgate-Palmolive,CL,-13.38
415,Amcor,AMCR,-13.39
416,ServiceNow,NOW,-13.45
417,Keurig Dr Pepper,KDP,-13.61
418,Pool Corporation,POOL,-13.75
419,Diamondback Energy,FANG,-13.82
420,Stanley Black & Decker,SWK,-13.95
421,Mid-America Apartment Communities,MAA,-14.03
422,Skyworks Solutions,SWKS,-14.14
423,Brown & Brown,BRO,-14.21
424,Builders FirstSource,BLDR,-14.32
425,Prudential Financial,PRU,-14.35
426,Avery Dennison,AVY,-14.36
427,DaVita,DVA,-14.38
428,PPG Industries,PPG,-14.47
429,Verisk Analytics,VRSK,-14.57
430,Revvity,RVTY,-14.60
431,FedEx,FDX,-14.76
432,AvalonBay Communities,AVB,-14.97
433,HP Inc.,HPQ,-15.23
434,Targa Resources,TRGP,-15.44
435,Corpay,CPAY,-15.47
436,Texas Pacific Land Corporation,TPL,-15.51
437,Carrier Global,CARR,-15.51
438,Becton Dickinson,BDX,-15.81
439,Church & Dwight,CHD,-15.88
440,Fidelity National Information Services,FIS,-15.88
441,West Pharmaceutical Services,WST,-16.08
442,Kraft Heinz,KHC,-16.28
443,"UDR, Inc.",UDR,-16.47
444,Halliburton,HAL,-16.81
445,Occidental Petroleum,OXY,-16.96
446,Viatris,VTRS,-17.19
447,Weyerhaeuser,WY,-17.23
448,PG&E Corporation,PCG,-17.34
449,LKQ Corporation,LKQ,-18.07
450,Cooper Companies (The),COO,-18.43
451,Fair Isaac,FICO,-18.61
452,Molson Coors Beverage Company,TAP,-18.70
453,KKR,KKR,-18.80
454,PayPal,PYPL,-18.92
455,Regeneron Pharmaceuticals,REGN,-19.03
456,Old Dominion,ODFL,-20.23
457,IDEX Corporation,IEX,-20.39
458,Baxter International,BAX,-20.68
459,Comcast,CMCSA,-21.21
460,Alexandria Real Estate Equities,ARE,-21.34
461,Smurfit WestRock,SW,-21.59
462,Zebra Technologies,ZBRA,-21.95
463,Copart,CPRT,-22.01
464,Global Payments,GPN,-22.35
465,Akamai Technologies,AKAM,-22.37
466,Adobe Inc.,ADBE,-22.78
467,Bristol Myers Squibb,BMY,-22.93
468,Erie Indemnity,ERIE,-23.24
469,General Mills,GIS,-23.46
470,International Flavors & Fragrances,IFF,-23.55
471,Hormel Foods,HRL,-23.62
472,Brown–Forman,BF.B,-23.83
473,Salesforce,CRM,-23.94
474,Apollo Global Management,APO,-24.20
475,Campbell Soup Company,CPB,-25.93
476,Clorox,CLX,-26.37
477,Charter Communications,CHTR,-26.62
478,Edison International,EIX,-27.79
479,UnitedHealth Group,UNH,-27.95
480,Kenvue,KVUE,-29.93
481,Chipotle Mexican Grill,CMG,-30.96
482,United Parcel Service,UPS,-31.08
483,Accenture,ACN,-31.16
484,ONEOK,OKE,-31.74
485,Molina Healthcare,MOH,-32.15
486,Target Corporation,TGT,-32.29
487,Eastman Chemical Company,EMN,-32.61
488,GoDaddy,GDDY,-32.89
489,Conagra Brands,CAG,-33.33
490,Moderna,MRNA,-34.49
491,Align Technology,ALGN,-35.29
492,Constellation Brands,STZ,-36.10
493,EPAM Systems,EPAM,-37.99
494,LyondellBasell,LYB,-38.58
495,FactSet,FDS,-39.53
496,Fiserv,FI,-39.57
497,Centene Corporation,CNC,-41.22
498,Dow Inc.,DOW,-46.10
499,CarMax,KMX,-47.37
500,Gartner,IT,-50.57
501,Deckers Brands,DECK,-50.67
502,Lululemon Athletica,LULU,-54.91
503,"The Trade Desk, Inc.",TTD,-55.33
